iter	MultiClass
0	1.542138441
1	1.308376056
2	1.129785323
3	0.9990805908
4	0.8874576725
5	0.8018521132
6	0.729484205
7	0.6681486346
8	0.6123618709
9	0.5668183749
10	0.5255407605
11	0.4880726168
12	0.4560717971
13	0.4242939149
14	0.3979316962
15	0.3762480047
16	0.3561537748
17	0.3346557358
18	0.3141401564
19	0.2946170702
20	0.2793244332
21	0.2656921291
22	0.2543743131
23	0.2424140887
24	0.2323044774
25	0.2235693302
26	0.2165044775
27	0.2055560531
28	0.1981733132
29	0.1884448802
30	0.1795769196
31	0.1730996164
32	0.1668653522
33	0.1622803317
34	0.1567922616
35	0.1521533319
36	0.1462187317
37	0.1416679301
38	0.1369325829
39	0.1342739833
40	0.1302508486
41	0.1274820135
42	0.1227574797
43	0.1203362888
44	0.1176368659
45	0.1156732918
46	0.1123864529
47	0.1100077086
48	0.1071900144
49	0.1059447286
50	0.1051714454
51	0.1021668066
52	0.09980020847
53	0.09830335056
54	0.09585312362
55	0.09439583598
56	0.09196939679
57	0.0903310168
58	0.08940019821
59	0.08854473186
60	0.08759306478
61	0.08588574717
62	0.08419142324
63	0.08284921053
64	0.08183107512
65	0.08091274838
66	0.08050891432
67	0.07985997895
68	0.07880430913
69	0.07737938063
70	0.07668529925
71	0.07511271697
72	0.07435811083
73	0.07282752766
74	0.07122400627
75	0.06961159227
76	0.06866784463
77	0.06761136787
78	0.06699031341
79	0.06653676818
80	0.06583446355
81	0.06536204686
82	0.06392013316
83	0.06333016596
84	0.06270239773
85	0.06251797565
86	0.0616157776
87	0.06121351512
88	0.06088092213
89	0.05985507346
90	0.05944725558
91	0.05900199319
92	0.05848399483
93	0.05753790668
94	0.05716403325
95	0.05608858701
96	0.05573168467
97	0.05525869873
98	0.05496272404
99	0.0545066926
100	0.05399220266
101	0.05332101985
102	0.05296865746
103	0.05212818743
104	0.05165978756
105	0.05152524276
106	0.05104409157
107	0.05068596443
108	0.05022367276
109	0.04975950361
110	0.04896042495
111	0.04811294697
112	0.04780095372
113	0.04742611931
114	0.04721710339
115	0.04701697129
116	0.0466098195
117	0.04597868182
118	0.04540734048
119	0.04532653621
120	0.04481987445
121	0.04441146906
122	0.04429602191
123	0.04406828599
124	0.04361914329
125	0.04350296983
126	0.04343328179
127	0.04308202981
128	0.04261231003
129	0.04209801888
130	0.04171414676
131	0.04166292884
132	0.04149686845
133	0.04105290226
134	0.04080572937
135	0.04077411406
136	0.04073092606
137	0.04057379034
138	0.0401665093
139	0.03995179285
140	0.03977857694
141	0.03942983531
142	0.0390114557
143	0.03876214115
144	0.0383408445
145	0.03798903549
146	0.03785735543
147	0.03747471567
148	0.03702650795
149	0.03669736426
150	0.03628320285
151	0.03625744528
152	0.03600486764
153	0.03576380117
154	0.03565788066
155	0.03541632088
156	0.03503614216
157	0.03485078924
158	0.03472849838
159	0.03452025278
160	0.03439254848
161	0.03432143335
162	0.03408669689
163	0.03400053887
164	0.03381932186
165	0.03367388894
166	0.03343621583
167	0.03321491465
168	0.03287716669
169	0.03266382235
170	0.03260665021
171	0.032351299
172	0.03198469272
173	0.03186697801
174	0.03185659934
175	0.03164137279
176	0.03156429081
177	0.03148409988
178	0.03139688005
179	0.03121451849
180	0.03117919666
181	0.03103752077
182	0.03096493452
183	0.03079647368
184	0.03072747962
185	0.03049946968
186	0.0303868098
187	0.0301535375
188	0.03006011591
189	0.02992611258
190	0.02982535313
191	0.02972086485
192	0.02971210626
193	0.02955195589
194	0.02943593027
195	0.02939066727
196	0.02937136476
197	0.02929867444
198	0.02915611384
199	0.02890021051
200	0.02879753873
201	0.02878227785
202	0.02856566355
203	0.02838876913
204	0.02830883681
205	0.02824361411
206	0.02818729967
207	0.02809777805
208	0.02784244208
209	0.02773682315
210	0.02771173309
211	0.02750767483
212	0.02730359382
213	0.0271703753
214	0.02695846337
215	0.02683699706
216	0.02672329981
217	0.02660242181
218	0.02650020903
219	0.02643795625
220	0.02632684042
221	0.02616013346
222	0.0261001947
223	0.02609374084
224	0.02608842612
225	0.02604932194
226	0.02602775415
227	0.02594447257
228	0.02580443663
229	0.02574220239
230	0.02568485617
231	0.02557770582
232	0.0255003246
233	0.02547349852
234	0.02540070545
235	0.02537093527
236	0.02527979759
237	0.025161193
238	0.0249941513
239	0.02492958065
240	0.02491075057
241	0.02477800403
242	0.02476336783
243	0.02470524242
244	0.0245607791
245	0.02450685419
246	0.02449455666
247	0.02438241495
248	0.02430687986
249	0.02430281443
250	0.02424695767
251	0.0241879729
252	0.0241636743
253	0.02407500621
254	0.02406511352
255	0.02402150653
256	0.02397869606
257	0.02384089653
258	0.02381744809
259	0.02377850607
260	0.02373437995
261	0.02364211163
262	0.02355962249
263	0.02344583544
264	0.02341406534
265	0.0232706772
266	0.02321159905
267	0.02318122121
268	0.02303845643
269	0.02301542116
270	0.02298805003
271	0.0229685768
272	0.02295462642
273	0.02291224786
274	0.02281941931
275	0.02269958672
276	0.02259733169
277	0.0224992252
278	0.02235017677
279	0.02233725272
280	0.02226028426
281	0.02225536609
282	0.02220001465
283	0.02219164293
284	0.02209988209
285	0.02208811439
286	0.02203561288
287	0.02202380339
288	0.0219989962
289	0.02199240941
290	0.02198475354
291	0.02191438442
292	0.02185428779
293	0.0218212224
294	0.02167208691
295	0.02154334688
296	0.02147099322
297	0.02144364804
298	0.02139649952
299	0.02128517132
300	0.02115688532
301	0.02109413799
302	0.02100169729
303	0.02097604104
304	0.02094492089
305	0.02093054294
306	0.02088038975
307	0.02081380621
308	0.02076996678
309	0.02066527084
310	0.02056709874
311	0.02055540837
312	0.02046089603
313	0.02039600888
314	0.02038291398
315	0.02037465807
316	0.02036705041
317	0.02030366815
318	0.02029812482
319	0.02022389431
320	0.02017422329
321	0.02002993451
322	0.02001822563
323	0.01991579582
324	0.01985300536
325	0.0197797504
326	0.0196968026
327	0.01968471551
328	0.01959834952
329	0.01956068146
330	0.01954121085
331	0.01953448297
332	0.01947294756
333	0.01943141557
334	0.01934978896
335	0.01926048529
336	0.01916016579
337	0.01913516085
338	0.01904911111
339	0.01904542848
340	0.01902952073
341	0.01897740657
342	0.01887186043
343	0.01886250277
344	0.01885676519
345	0.01883144052
346	0.01881036135
347	0.01872222461
348	0.018675434
349	0.01860642495
350	0.01858957239
351	0.01854600442
352	0.01852600676
353	0.01849822877
354	0.01846252943
355	0.01841673148
356	0.01837381002
357	0.01836505392
358	0.01835548038
359	0.01828576425
360	0.01823465316
361	0.01820304201
362	0.01815688843
363	0.01811046946
364	0.01810134857
365	0.01808880163
366	0.01805551146
367	0.01800999758
368	0.0179899138
369	0.01794318181
370	0.01789975533
371	0.01782339682
372	0.01781588108
373	0.01777765481
374	0.01777096144
375	0.01774230742
376	0.0176526888
377	0.01761244016
378	0.01760273086
379	0.01759413516
380	0.01758622545
381	0.01757583302
382	0.01753460657
383	0.01751332015
384	0.01746761673
385	0.01743793567
386	0.01741817121
387	0.01740937247
388	0.01729169699
389	0.0172873342
390	0.01726065272
391	0.01719723989
392	0.01712278064
393	0.01711127615
394	0.01708950535
395	0.01705263855
396	0.01701781717
397	0.01697939192
398	0.01689896544
399	0.01687643471
400	0.01683891819
401	0.01679903418
402	0.01676575739
403	0.01669972922
404	0.01665981387
405	0.0166152162
406	0.01660972015
407	0.01660431425
408	0.01656189534
409	0.01654712958
410	0.01649960889
411	0.01646258496
412	0.01644119956
413	0.01642383974
414	0.01639475065
415	0.0163588085
416	0.01632877927
417	0.01629262229
418	0.01628461419
419	0.01626601618
420	0.01618621439
421	0.01616161615
422	0.01615474033
423	0.016124846
424	0.01604433535
425	0.01598420816
426	0.01597073302
427	0.01595730301
428	0.01592619024
429	0.0158991521
430	0.01585078121
431	0.01579651653
432	0.01573724045
433	0.01572200587
434	0.01569823731
435	0.01567899238
436	0.01565055097
437	0.01561539435
438	0.0155784368
439	0.01556851586
440	0.01552175258
441	0.01551732295
442	0.0154940351
443	0.01545245795
444	0.0154234069
445	0.01541739324
446	0.01537496109
447	0.0153043182
448	0.01528321145
449	0.01524315212
450	0.01518786586
451	0.01518239597
452	0.01516956892
453	0.0151184328
454	0.01510541862
455	0.01508782971
456	0.01504396084
457	0.0149720749
458	0.01494539317
459	0.01493478614
460	0.01491046898
461	0.01489127194
462	0.01487857587
463	0.0148589894
464	0.01484028032
465	0.01482179695
466	0.01480473588
467	0.01479913708
468	0.01479306893
469	0.01478760901
470	0.01473984395
471	0.01471664784
472	0.01467445162
